Campaña;Estado de la campaña;Tipo de campaña;Clics;Impr.;CTR;Código de moneda;CPC medio;Coste;Conversiones;Conv. post-impresión;Coste/conv.;Tasa de conv.
MP_Gen / Secundario Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Gen / Simulacro Online - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachiller - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Bachillerato - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Nombres de Colegios;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BMM;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - BRO;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - EXA;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_GeoFon - Secundario - PHR;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
